asset_id,serial_number,asset_type,purchase_date,cost,os_version,status,location,owner_emp_id,warranty_expiry,last_audit_date
A0240,YY8073741,Monitor,2023-07-20,162.82,,In Storage,Warehouse,23.0,2024-07-19,2024-12-16
A0241,CM4342661,Monitor,2023-03-24,245.63,,Retired,Remote,57.0,2028-03-22,2025-03-03
A0242,OF8680589,Docking Station,2022-07-15,278.93,,Pending Disposal,Warehouse,12.0,2027-07-14,2024-01-22
A0243,YB5290965,Docking Station,2021-06-20,173.47,,Retired,Building A,47.0,2026-06-19,2024-01-19
A0244,CX3888993,Laptop,2020-06-03,1459.79,Windows 11,Retired,Warehouse,7.0,2021-06-03,2024-11-26
A0245,SA9825071,Monitor,2025-02-19,381.32,,Retired,Remote,39.0,2030-02-18,2026-06-29
A0246,EW2545738,Desktop,2020-05-01,1458.74,macOS 13,Pending Disposal,Building A,47.0,2023-05-01,2025-02-27
A0247,VP7514010,Docking Station,2022-10-18,154.91,,In Use,Building A,43.0,2027-10-17,2024-01-22
A0248,BD3828258,Monitor,2025-04-30,329.58,,In Storage,Building A,,2030-04-29,2024-06-05
A0249,CL2266093,Laptop,2022-07-26,1064.1,Windows 11,Retired,Warehouse,25.0,2023-07-26,2025-01-07
A0250,LX3341918,Desktop,2019-10-06,1446.97,macOS 13,Retired,Remote,49.0,2020-10-05,2024-09-16
A0251,ZL4785969,Desktop,2022-12-07,1282.41,macOS 14,Retired,Warehouse,16.0,2023-12-07,2024-01-28
A0252,RI7924991,Laptop,2022-03-12,1856.38,macOS 14,Pending Disposal,Building A,17.0,2025-03-11,2024-09-02
A0253,MI1252866,Docking Station,2021-05-26,142.91,,Retired,Remote,13.0,2022-05-26,2025-06-15
A0254,IL7828274,Desktop,2022-09-10,1638.11,macOS 14,In Storage,Remote,6.0,2025-09-09,2024-09-03
A0255,JG0507236,Monitor,2022-11-20,398.34,,Retired,Warehouse,55.0,2025-11-19,2025-09-09
A0256,BY7677219,Desktop,2022-08-05,1573.07,macOS 15,In Storage,Building A,13.0,2025-08-04,2026-01-06
A0257,VX4384279,Desktop,2021-10-10,1569.41,Windows 10,Retired,Warehouse,30.0,2024-10-09,2026-01-11
A0258,WC1914858,Laptop,2023-07-31,985.47,macOS 14,Pending Disposal,Remote,50.0,2028-07-29,2026-01-04
A0259,QW3613407,Laptop,2022-10-27,1062.92,macOS 13,In Use,Remote,30.0,2025-10-26,2026-04-26
A0260,KN1339596,Desktop,2020-05-04,1665.76,macOS 15,In Storage,Building B,28.0,2021-05-04,2024-02-24
A0261,IK3095849,Laptop,2021-03-06,1573.53,macOS 13,In Storage,Building B,21.0,2024-03-05,2024-09-13
A0262,DR4948126,Monitor,2024-08-28,481.62,,Retired,Building A,17.0,2027-08-28,2026-05-02
A0263,JK2325367,Monitor,2020-08-14,193.81,,Retired,Building A,33.0,2023-08-14,2025-08-18
A0264,SX6711684,Desktop,2024-02-15,888.32,macOS 15,Retired,Building A,53.0,2025-02-14,2025-02-04
A0265,ZN9017518,Laptop,2023-02-23,959.1,macOS 15,Retired,Building B,50.0,2028-02-22,2026-08-21
A0266,IK7454589,Laptop,2025-07-03,1547.45,macOS 15,Retired,Warehouse,31.0,2028-07-02,2026-04-16
A0267,CD0017012,Docking Station,2025-03-31,159.49,,In Use,Building A,11.0,2030-03-30,2023-09-25
A0268,QF3242415,Docking Station,2026-06-08,196.85,,In Storage,Warehouse,39.0,2029-06-07,2024-11-05
A0269,TG2064361,Monitor,2026-01-21,451.52,,Retired,Warehouse,26.0,2029-01-20,2023-09-26
A0270,SV2938700,Monitor,2023-01-25,330.24,,In Use,Warehouse,16.0,2028-01-24,2026-03-08
A0271,UZ6271361,Laptop,2026-08-24,1247.71,Windows 11,In Storage,Building A,4.0,2029-08-23,2024-01-15
A0272,KA4262218,Docking Station,2021-12-03,272.83,,Pending Disposal,Building B,56.0,2024-12-02,2025-07-24
A0273,FG5326973,Monitor,2020-11-17,476.81,,Retired,Building B,49.0,2023-11-17,2024-02-25
A0274,PF6565234,Docking Station,2020-08-04,299.19,,Pending Disposal,Remote,57.0,2023-08-04,2024-06-22
A0275,GM9404389,Docking Station,2023-12-09,104.64,,Pending Disposal,Remote,16.0,2026-12-08,2025-12-22
A0276,OM0376137,Monitor,2021-10-19,167.03,,Retired,Remote,39.0,2026-10-18,2023-12-11
A0277,XI0552696,Monitor,2025-12-13,337.84,,In Use,Remote,9.0,2028-12-12,2025-10-12
A0278,CD1091043,Monitor,2025-01-25,417.35,,Retired,Building A,26.0,2026-01-25,2026-07-30
A0279,IN4866618,Desktop,2022-07-08,1098.78,macOS 13,In Use,Remote,33.0,2027-07-07,2024-03-10
A0280,LO1832856,Monitor,2020-04-25,438.86,,In Use,Building B,7.0,2025-04-24,2026-01-08
A0281,BH1463031,Monitor,2024-04-11,428.21,,Retired,Warehouse,,2027-04-11,2025-02-02
A0282,FW4210202,Desktop,2023-12-29,1362.71,macOS 14,In Use,Building A,3.0,2026-12-28,2025-04-20
A0283,VZ4252410,Monitor,2025-03-18,431.39,,Pending Disposal,Building B,39.0,2028-03-17,2025-01-07
A0284,DF4917785,Monitor,2023-05-25,475.98,,Retired,Building B,26.0,2026-05-24,2026-04-23
A0285,AC2419138,Monitor,2020-11-24,327.56,,Pending Disposal,Warehouse,31.0,2021-11-24,2026-04-23
A0286,JZ0756220,Monitor,2019-10-26,265.93,,In Use,Remote,38.0,2022-10-25,2026-06-22
A0287,EK6353654,Laptop,2024-11-30,1675.98,macOS 13,In Storage,Building A,38.0,2029-11-29,2024-11-06
A0288,DS0238061,Desktop,2023-03-31,1276.66,macOS 15,Pending Disposal,Building B,53.0,2026-03-30,2026-01-19
A0289,KY1870534,Laptop,2021-11-27,1644.34,Windows 10,In Storage,Building A,29.0,2024-11-26,2024-08-23
A0290,JA7597383,Docking Station,2024-02-02,130.29,,In Storage,Remote,33.0,2029-01-31,2026-07-12
A0291,GN8505064,Laptop,2019-11-25,1817.51,macOS 15,In Storage,Warehouse,43.0,2024-11-23,2025-04-27
A0292,HA7024103,Docking Station,2021-05-25,162.75,,In Storage,Remote,59.0,2024-05-24,2025-11-01
A0293,LK1918261,Monitor,2022-05-04,386.55,,Retired,Remote,13.0,2025-05-03,2023-12-02
A0294,UC2344565,Monitor,2024-05-14,345.33,,In Storage,Warehouse,50.0,2027-05-14,2024-07-19
A0295,CD3291212,Desktop,2020-04-02,1459.26,macOS 14,Retired,Remote,23.0,2023-04-02,2024-09-03
A0296,FK5374741,Monitor,2020-07-29,192.66,,Pending Disposal,Remote,53.0,2023-07-29,2026-02-26
A0297,WZ9035213,Desktop,2021-11-10,1019.5,macOS 13,In Use,Warehouse,60.0,2026-11-09,2025-04-09
A0298,PG4206788,Monitor,2024-06-20,411.57,,In Storage,Building B,53.0,2027-06-20,2025-02-12
A0299,ZX2100323,Monitor,2025-05-10,198.05,,In Storage,Building B,4.0,2028-05-09,2025-10-16
A0300,MP1994101,Desktop,2026-04-17,757.74,macOS 14,Retired,Remote,7.0,2029-04-16,2025-01-23
A0301,BU5107029,Laptop,2020-08-19,2153.87,Windows 11,Pending Disposal,Remote,31.0,2023-08-19,2024-11-30
A0302,CJ6253244,Monitor,2019-12-09,262.41,,In Use,Building A,42.0,2022-12-08,2023-11-01
A0303,FR3476870,Laptop,2024-01-24,2087.2,Windows 11,Pending Disposal,Building B,60.0,2025-01-23,2024-11-17
A0304,IY8380657,Docking Station,2022-08-31,257.59,,In Storage,Warehouse,57.0,2023-08-31,2025-03-09
A0305,MO8564205,Laptop,2026-02-12,1287.91,macOS 15,In Use,Warehouse,,2031-02-11,2023-10-27
A0306,KG4078593,Docking Station,2025-05-28,277.85,,In Storage,Remote,18.0,2028-05-27,2024-06-22
A0307,LP8039652,Laptop,2021-06-02,1329.89,macOS 14,Retired,Building B,1.0,2024-06-01,2025-07-05
A0308,KM5905992,Monitor,2025-05-16,348.72,,In Storage,Building B,40.0,2030-05-15,2026-03-30
A0309,DO7842701,Docking Station,2025-05-27,203.06,,In Use,Remote,43.0,2026-05-27,2025-07-15
A0310,TL7059325,Desktop,2019-11-14,1779.85,macOS 14,Retired,Building B,1.0,2022-11-13,2026-06-27
A0311,HX5002921,Docking Station,2025-08-21,147.1,,Retired,Warehouse,20.0,2026-08-21,2026-08-12
A0312,KU6915452,Monitor,2022-05-06,378.79,,In Storage,Building A,43.0,2023-05-06,2026-07-30
A0313,QL7528953,Docking Station,2025-04-09,161.36,,Pending Disposal,Warehouse,45.0,2026-04-09,2026-03-05
A0314,CL4220969,Monitor,2022-05-19,278.64,,In Storage,Building B,9.0,2027-05-18,2025-07-16
A0315,VE9391725,Desktop,2026-03-06,1200.48,macOS 15,Retired,Remote,,2031-03-05,2024-06-11
A0316,PS2157043,Desktop,2026-08-09,1538.05,macOS 15,In Use,Remote,34.0,2029-08-08,2023-12-08
A0317,AF1006762,Laptop,2021-07-12,2092.42,Windows 10,In Use,Building B,37.0,2024-07-11,2026-05-18
A0318,EZ6179327,Desktop,2022-03-10,1060.93,macOS 15,Pending Disposal,Building A,44.0,2025-03-09,2026-04-08
A0319,KU5411526,Docking Station,2021-10-17,118.19,,Pending Disposal,Building A,30.0,2024-10-16,2023-12-16
A0320,PK1599706,Docking Station,2026-04-28,191.36,,In Use,Remote,44.0,2029-04-27,2025-07-21
A0321,UU0153368,Laptop,2022-10-08,1414.73,Windows 10,In Storage,Building A,3.0,2027-10-07,2025-05-08
A0322,FJ4310698,Monitor,2024-05-09,395.13,,In Use,Building A,60.0,2029-05-08,2023-11-23
A0323,NK1497310,Laptop,2019-10-04,1273.22,Windows 11,In Storage,Remote,24.0,2024-10-02,2025-08-24
A0324,FP7146774,Docking Station,2026-07-27,273.92,,Pending Disposal,Remote,6.0,2029-07-26,2025-05-13
A0325,DQ6527047,Monitor,2021-01-09,191.52,,Pending Disposal,Building B,47.0,2024-01-09,2024-05-29
A0326,WL0211586,Laptop,2021-08-11,1883.03,macOS 13,Pending Disposal,Remote,35.0,2026-08-10,2024-05-31
A0327,ET6868793,Desktop,2020-02-27,972.26,macOS 13,In Storage,Warehouse,13.0,2021-02-26,2023-12-20
A0328,HW0898992,Laptop,2026-01-18,1952.32,macOS 14,In Use,Building B,14.0,2027-01-18,2025-01-29
A0329,RB2332061,Laptop,2026-05-16,1672.13,macOS 14,In Use,Building B,48.0,2027-05-16,2024-05-03
A0330,JZ2945116,Docking Station,2025-06-27,187.79,,In Storage,Building A,9.0,2028-06-26,2025-05-22
A0331,HA8709986,Desktop,2025-09-22,1597.36,macOS 15,Retired,Warehouse,16.0,2028-09-21,2024-03-07
A0332,WA9119148,Desktop,2023-09-12,1784.27,macOS 15,In Storage,Remote,20.0,2026-09-11,2024-07-10
A0333,JN9970246,Laptop,2024-04-24,1623.73,macOS 15,In Storage,Remote,36.0,2029-04-23,2025-07-23
A0334,XB0653074,Laptop,2024-08-01,2163.98,macOS 14,Retired,Remote,27.0,2027-08-01,2024-09-29
A0335,VC4471324,Monitor,2025-04-14,281.76,,Pending Disposal,Building B,55.0,2028-04-13,2026-01-20
A0336,VF6913736,Monitor,2021-12-23,450.14,,In Storage,Remote,59.0,2022-12-23,2026-01-04
A0337,IX0821486,Docking Station,2025-10-19,293.56,,In Storage,Remote,16.0,2028-10-18,2026-04-15
A0338,DD0233030,Desktop,2025-11-19,1063.29,Windows 10,Pending Disposal,Warehouse,6.0,2028-11-18,2026-06-27
A0339,PX4578610,Laptop,2024-08-30,1249.0,macOS 15,In Use,Building A,13.0,2027-08-30,2025-03-13
A0340,VS7985524,Docking Station,2022-11-08,141.78,,Retired,Warehouse,59.0,2023-11-08,2024-01-02
A0341,RP0293333,Desktop,2019-12-04,1730.88,Windows 10,Pending Disposal,Building B,45.0,2022-12-03,2024-12-16
A0342,QM0722903,Docking Station,2019-11-15,283.03,,Retired,Warehouse,25.0,2024-11-13,2026-02-23
A0343,DT4665743,Monitor,2021-11-13,257.95,,Retired,Remote,30.0,2022-11-13,2025-10-06
A0344,PM6910858,Docking Station,2025-07-01,252.33,,Retired,Building B,24.0,2028-06-30,2025-07-23
A0345,QP1715454,Docking Station,2021-10-26,109.14,,In Storage,Building B,2.0,2024-10-25,2025-11-12
A0346,ZQ4328309,Docking Station,2025-12-22,159.04,,In Storage,Warehouse,15.0,2030-12-21,2024-09-09
A0347,VC0744666,Desktop,2020-09-16,1249.23,macOS 13,Retired,Remote,47.0,2025-09-15,2025-06-24
A0348,TK3538758,Docking Station,2026-09-10,133.65,,Retired,Building B,9.0,2031-09-09,2026-04-03
A0349,WL2417248,Desktop,2025-11-12,1708.59,macOS 15,In Use,Building A,54.0,2026-11-12,2026-07-28
A0350,XQ1353465,Laptop,2026-01-10,1893.64,macOS 14,In Storage,Building B,5.0,2029-01-09,2025-06-27
A0351,EM1709991,Laptop,2022-12-23,1184.34,macOS 14,Retired,Building A,40.0,2027-12-22,2025-03-26
A0352,MV6846022,Docking Station,2025-10-20,103.15,,Pending Disposal,Building A,2.0,2028-10-19,2024-12-16
A0353,OL7252175,Monitor,2023-09-19,156.0,,Pending Disposal,Building B,7.0,2024-09-18,2024-09-02
A0354,YW7432927,Desktop,2020-02-20,965.07,macOS 15,Retired,Warehouse,18.0,2025-02-18,2026-01-26
A0355,CI6666760,Laptop,2020-08-20,1384.97,macOS 14,Pending Disposal,Building B,45.0,2023-08-20,2024-04-30
A0356,OS0583003,Monitor,2022-05-05,389.41,,In Use,Building A,6.0,2027-05-04,2026-05-13
A0357,CT1689421,Docking Station,2021-11-30,175.43,,Pending Disposal,Building A,41.0,2022-11-30,2026-07-30
A0358,FW8985625,Desktop,2022-12-03,790.95,macOS 14,Retired,Building A,58.0,2023-12-03,2025-12-25
A0359,LG6033230,Desktop,2020-11-19,932.56,macOS 15,Pending Disposal,Warehouse,3.0,2021-11-19,2024-03-28
A0360,DQ0648909,Monitor,2022-04-19,464.76,,In Use,Building B,60.0,2025-04-18,2024-01-21
A0361,QE0167618,Laptop,2025-08-01,2149.91,macOS 15,In Storage,Remote,,2026-08-01,2025-11-02
A0362,MS0461849,Monitor,2021-03-03,206.86,,In Storage,Remote,44.0,2024-03-02,2024-02-22
A0363,FM1891411,Docking Station,2025-07-18,251.12,,In Storage,Building A,33.0,2028-07-17,2025-07-23
A0364,JF8356420,Laptop,2025-03-05,1026.99,Windows 11,In Use,Warehouse,39.0,2030-03-04,2026-06-18
A0365,KQ7530011,Monitor,2024-07-19,160.37,,Retired,Remote,32.0,2027-07-19,2025-03-19
A0366,QD8114374,Monitor,2026-05-17,343.56,,Pending Disposal,Remote,12.0,2031-05-16,2023-11-18
A0367,WC0455611,Laptop,2025-06-03,1903.82,macOS 13,In Storage,Building A,6.0,2028-06-02,2023-10-05
A0368,XV2557941,Desktop,2020-09-12,1118.0,Windows 11,Pending Disposal,Warehouse,24.0,2021-09-12,2024-04-12
A0369,IS7467621,Laptop,2022-07-15,906.75,macOS 13,Pending Disposal,Warehouse,49.0,2025-07-14,2025-11-29
A0370,LN2169797,Laptop,2026-08-07,1072.26,Windows 11,Pending Disposal,Remote,36.0,2031-08-06,2024-11-14
A0371,CE0277167,Laptop,2022-03-29,934.14,macOS 13,In Use,Warehouse,56.0,2027-03-28,2024-07-07
A0372,SS8993588,Laptop,2021-12-06,1279.4,macOS 14,In Use,Building B,37.0,2024-12-05,2025-08-02
A0373,DA3756289,Docking Station,2022-10-05,133.9,,Retired,Warehouse,18.0,2027-10-04,2025-08-30
A0374,VR7721753,Desktop,2020-10-30,769.59,macOS 14,Retired,Remote,20.0,2025-10-29,2023-11-19
A0375,CF6631779,Laptop,2021-04-16,1369.46,Windows 11,Pending Disposal,Building B,,2022-04-16,2026-04-20
A0376,JJ1701660,Desktop,2022-11-10,1035.12,macOS 14,Retired,Remote,52.0,2025-11-09,2023-09-25
A0377,VX9948837,Docking Station,2020-05-14,166.95,,In Storage,Warehouse,21.0,2023-05-14,2026-03-17
A0378,TC7589975,Docking Station,2025-06-12,162.84,,Pending Disposal,Warehouse,19.0,2030-06-11,2024-01-27
A0379,XS3055488,Desktop,2025-01-16,1058.47,macOS 13,Pending Disposal,Warehouse,8.0,2028-01-16,2024-01-19
A0380,MH7261493,Desktop,2026-01-03,1449.88,macOS 15,In Use,Remote,46.0,2029-01-02,2026-07-10
A0381,HX7351609,Docking Station,2022-06-25,259.54,,In Use,Remote,44.0,2027-06-24,2026-05-29
A0382,JB9827080,Desktop,2022-12-07,1396.67,Windows 11,Retired,Building B,46.0,2027-12-06,2026-04-01
A0383,QM8292216,Docking Station,2023-02-10,114.79,,Pending Disposal,Remote,35.0,2028-02-09,2025-07-20
A0384,SC6693465,Laptop,2021-12-25,1927.94,macOS 13,In Use,Building A,50.0,2024-12-24,2026-02-23
A0385,MN9848583,Monitor,2020-09-12,208.22,,In Use,Remote,49.0,2023-09-12,2025-08-09
A0386,WW5228851,Docking Station,2021-10-06,121.19,,In Use,Warehouse,15.0,2024-10-05,2025-06-02
A0387,BY6846081,Docking Station,2023-10-23,174.82,,Pending Disposal,Building B,23.0,2024-10-22,2024-03-02
A0388,SY3424420,Docking Station,2024-06-03,120.91,,Pending Disposal,Building A,8.0,2027-06-03,2024-08-13
A0389,VP0571983,Monitor,2025-01-02,259.16,,Pending Disposal,Building B,34.0,2030-01-01,2025-06-01
A0390,DA4066658,Monitor,2021-05-24,316.66,,Pending Disposal,Remote,21.0,2022-05-24,2025-12-18
A0391,XU7359893,Monitor,2021-02-25,165.64,,In Use,Building A,55.0,2024-02-25,2026-08-16
A0392,CB2122816,Laptop,2021-10-15,1780.28,Windows 11,In Storage,Building B,36.0,2024-10-14,2024-07-26
A0393,CJ2940572,Monitor,2021-07-31,345.95,,Pending Disposal,Building B,52.0,2026-07-30,2026-07-08
A0394,YT9479851,Desktop,2023-11-28,905.03,macOS 14,Pending Disposal,Building A,48.0,2026-11-27,2024-09-07
A0395,IZ2818268,Docking Station,2021-04-09,218.44,,Pending Disposal,Building A,46.0,2024-04-08,2024-01-03
A0396,HE3555439,Desktop,2021-04-12,1006.18,Windows 10,In Use,Building B,24.0,2024-04-11,2026-09-21
A0397,PC0157399,Desktop,2025-06-30,1203.31,macOS 13,Pending Disposal,Warehouse,39.0,2030-06-29,2025-10-12
A0398,XX1648408,Docking Station,2021-12-23,217.4,,Retired,Warehouse,55.0,2026-12-22,2025-04-10
A0399,GK7043581,Desktop,2023-04-17,1595.11,macOS 13,In Use,Building B,21.0,2024-04-16,2026-08-24
A0400,NI8013361,Desktop,2025-02-21,1035.92,Windows 11,Retired,Building B,33.0,2030-02-20,2026-03-21
A0401,FE6120750,Docking Station,2025-11-17,219.29,,Pending Disposal,Remote,12.0,2030-11-16,2023-11-23
A0402,CO8193466,Desktop,2025-04-16,1310.4,macOS 14,Retired,Building B,12.0,2028-04-15,2024-12-11
A0403,CS6180919,Docking Station,2021-12-11,223.88,,Retired,Building A,32.0,2024-12-10,2026-04-11
A0404,WC8144914,Desktop,2022-03-27,1596.74,macOS 15,Pending Disposal,Remote,44.0,2027-03-26,2024-11-16
A0405,YZ0728326,Docking Station,2025-06-26,242.03,,Pending Disposal,Remote,11.0,2026-06-26,2026-04-13
A0406,HC2450882,Laptop,2021-10-17,1934.65,Windows 11,Retired,Building A,18.0,2024-10-16,2023-09-30
A0407,AP8814353,Monitor,2023-11-28,208.87,,Pending Disposal,Remote,36.0,2024-11-27,2026-04-15
A0408,QZ2394312,Laptop,2020-09-23,1248.26,macOS 15,Retired,Building A,49.0,2025-09-22,2025-06-07
A0409,GM8781414,Desktop,2020-02-11,1788.75,Windows 10,In Storage,Warehouse,56.0,2021-02-10,2025-11-28
A0410,EM5523149,Docking Station,2023-02-21,152.56,,In Use,Remote,56.0,2024-02-21,2024-09-07
A0411,EM5523149,Desktop,2022-11-19,930.87,macOS 15,Retired,Remote,11.0,2025-11-18,2026-08-10
A0412,RU5336452,Desktop,2020-11-29,1594.88,Windows 10,Retired,Warehouse,39.0,2023-11-29,2024-09-22
A0413,PM7547812,Monitor,2023-02-02,492.65,,Retired,Warehouse,37.0,2026-02-01,2023-12-23
A0414,GO2834110,Laptop,2021-09-11,1076.27,macOS 14,In Use,Warehouse,56.0,2024-09-10,2023-10-29
A0415,IE6930848,Desktop,2023-10-21,974.64,macOS 13,In Storage,Remote,32.0,2026-10-20,2025-09-10
A0416,GF6394278,Monitor,2020-10-08,369.73,,Pending Disposal,Remote,5.0,2021-10-08,2024-12-02
A0417,LK3928272,Docking Station,2023-03-31,203.12,,Retired,Warehouse,30.0,2028-03-29,2026-07-30
A0418,EQ2750373,Monitor,2024-05-06,353.68,,In Use,Remote,41.0,2027-05-06,2024-11-02
A0419,CP3856770,Laptop,2020-01-12,1934.38,macOS 14,In Storage,Remote,53.0,2023-01-11,2024-09-14
A0420,YP8449892,Docking Station,2024-08-27,153.71,,Retired,Warehouse,36.0,2027-08-27,2024-11-12
A0421,WW1846386,Docking Station,2023-11-05,257.66,,In Use,Building A,7.0,2028-11-03,2025-03-11
A0422,EG9082723,Laptop,2023-02-08,1061.51,Windows 11,Pending Disposal,Remote,1.0,2028-02-07,2025-08-30
A0423,ZV2259136,Desktop,2021-03-18,1795.26,Windows 11,Retired,Building B,56.0,2024-03-17,2025-11-22
A0424,PC7739260,Laptop,2023-02-06,1750.96,macOS 13,In Use,Warehouse,43.0,2026-02-05,2024-02-12
A0425,QL2809202,Laptop,2023-11-17,1415.24,macOS 13,In Storage,Remote,42.0,2024-11-16,2025-04-13
A0426,EE9041379,Laptop,2022-07-27,901.41,macOS 14,In Use,Building B,38.0,2025-07-26,2024-03-29
A0427,KU9292984,Docking Station,2025-07-17,101.86,,Retired,Building A,56.0,2030-07-16,2025-10-15
A0428,GB9913662,Desktop,2026-03-09,1225.47,Windows 11,Pending Disposal,Building A,47.0,2027-03-09,2024-05-03
A0429,NM8629127,Laptop,2025-09-30,1307.36,macOS 13,In Storage,Remote,50.0,2028-09-29,2023-11-06
A0430,AX8117298,Desktop,2025-03-20,775.25,macOS 15,In Use,Building B,29.0,2028-03-19,2025-10-07
A0431,YX6508637,Desktop,2022-10-01,1390.89,Windows 11,Pending Disposal,Remote,56.0,2025-09-30,2024-11-15
A0432,FS9162473,Laptop,2023-11-08,2065.57,Windows 11,In Use,Remote,23.0,2028-11-06,2025-07-11
A0433,HA4300981,Monitor,2023-07-15,426.88,,In Storage,Warehouse,42.0,2024-07-14,2024-11-09
A0434,QQ5651269,Desktop,2021-03-03,1308.74,macOS 15,Retired,Building A,55.0,2024-03-02,2026-04-19
A0435,QQ5651269,Desktop,2022-09-11,1269.52,macOS 15,In Storage,Remote,19.0,2023-09-11,2025-03-06
A0436,VI8744956,Desktop,2022-04-28,1244.38,Windows 10,In Storage,Remote,41.0,2023-04-28,2026-04-19
A0437,YV3721386,Laptop,2024-05-06,2182.95,macOS 13,In Storage,Remote,56.0,2029-05-05,2026-02-18
A0438,MB0260127,Monitor,2024-01-11,341.22,,In Storage,Remote,50.0,2025-01-10,2023-12-30
A0439,PH5190669,Laptop,2021-07-28,1663.57,Windows 10,Retired,Building B,3.0,2022-07-28,2024-08-03
A0440,SM0277038,Docking Station,2026-06-22,201.32,,Pending Disposal,Remote,45.0,2031-06-21,2023-10-31
A0441,PA8392053,Laptop,2023-12-05,1732.7,macOS 15,In Storage,Warehouse,6.0,2026-12-04,2026-08-29
A0442,HA4656693,Laptop,2020-05-03,1564.7,Windows 11,In Storage,Warehouse,26.0,2021-05-03,2025-12-10
A0443,RO1848955,Monitor,2020-03-18,394.54,,In Storage,Building A,16.0,2021-03-18,2025-07-20
A0444,GJ6904268,Docking Station,2021-02-03,123.2,,In Use,Warehouse,43.0,2024-02-03,2023-12-13
A0445,YK1848947,Laptop,2021-10-16,916.46,Windows 11,In Use,Building B,32.0,2024-10-15,2025-03-08
A0446,QE5779071,Monitor,2021-06-07,208.44,,In Storage,Warehouse,47.0,2022-06-07,2024-11-17
A0447,AS3356588,Laptop,2025-04-01,1335.51,macOS 14,Retired,Building A,17.0,2026-04-01,2026-03-25
A0448,UW1651827,Docking Station,2021-06-20,191.04,,Retired,Building A,32.0,2024-06-19,2024-05-21
A0449,NO2373334,Monitor,2023-09-30,205.06,,In Use,Building A,15.0,2024-09-29,2024-05-04
A0450,NA9521117,Laptop,2021-06-24,2016.3,Windows 10,In Storage,Building A,31.0,2024-06-23,2026-01-09
A0451,RF0759579,Docking Station,2023-07-10,284.05,,In Storage,Building A,36.0,2028-07-08,2024-04-12
A0452,HZ8463920,Desktop,2025-01-29,1053.98,macOS 14,Retired,Warehouse,53.0,2026-01-29,2024-12-31
A0453,SH0856271,Monitor,2026-04-22,191.79,,In Use,Building B,15.0,2027-04-22,2025-02-10
A0454,NQ0369155,Docking Station,2024-07-21,113.79,,Pending Disposal,Warehouse,50.0,2027-07-21,2024-04-17
A0455,BN4795527,Monitor,2021-07-27,180.23,,Pending Disposal,Building A,,2024-07-26,2024-12-27
A0456,KR5647292,Monitor,2024-12-29,347.33,,Retired,Building B,30.0,2027-12-29,2024-06-01
A0457,ZV4386632,Docking Station,2020-06-06,299.56,,In Storage,Building B,10.0,2021-06-06,2024-03-06
A0458,YF2672885,Docking Station,2025-05-15,104.78,,Retired,Building A,,2026-05-15,2024-08-18
A0459,QE9061203,Docking Station,2023-08-31,269.8,,Retired,Building A,14.0,2026-08-30,2026-04-01
A0460,WB5455884,Docking Station,2020-05-28,198.41,,In Use,Building B,,2023-05-28,2024-12-19
A0461,WU9399824,Laptop,2022-03-10,957.07,Windows 11,Pending Disposal,Warehouse,30.0,2023-03-10,2025-10-01
A0462,KO7169472,Laptop,2023-02-22,1557.06,macOS 14,In Use,Building A,28.0,2026-02-21,2026-02-26
A0463,OU9961125,Desktop,2022-02-03,1020.84,macOS 13,Pending Disposal,Warehouse,21.0,2027-02-02,2024-09-06
A0464,HC4964759,Monitor,2021-10-08,231.76,,In Storage,Building B,50.0,2022-10-08,2024-12-21
A0465,ZG0234132,Desktop,2021-01-07,816.22,macOS 14,Pending Disposal,Warehouse,27.0,2022-01-07,2024-01-07
A0466,GQ7800681,Monitor,2026-04-15,487.62,,In Storage,Remote,20.0,2031-04-14,2025-08-02
A0467,IH6433472,Monitor,2020-04-27,448.37,,In Use,Building B,52.0,2023-04-27,2026-04-01
A0468,CI5577848,Laptop,2019-12-07,1179.53,macOS 13,In Storage,Building A,46.0,2022-12-06,2026-08-22
A0469,OO2997968,Monitor,2024-08-12,288.69,,In Use,Warehouse,17.0,2027-08-12,2025-05-02
A0470,AQ7831745,Laptop,2026-02-03,2137.73,macOS 14,In Storage,Building A,30.0,2027-02-03,2024-03-13
A0471,SF8254780,Desktop,2019-10-21,833.6,Windows 10,In Storage,Building B,13.0,2024-10-19,2026-07-28
A0472,XM0649308,Monitor,2023-01-26,390.2,,In Use,Warehouse,59.0,2024-01-26,2024-12-19
A0473,FB6326634,Laptop,2023-08-27,2196.31,Windows 11,Pending Disposal,Building B,6.0,2026-08-26,2025-08-10
A0474,EL9448463,Laptop,2023-05-07,955.51,macOS 14,In Use,Building B,60.0,2028-05-05,2024-02-21
A0475,UB7974973,Docking Station,2020-07-03,199.23,,Pending Disposal,Remote,12.0,2023-07-03,2024-03-09
A0476,UA0214427,Desktop,2026-07-08,1699.13,macOS 13,Retired,Remote,57.0,2029-07-07,2024-06-06
A0477,DS7356475,Laptop,2020-10-14,1698.34,macOS 15,In Storage,Warehouse,32.0,2025-10-13,2026-02-08
A0478,LM2046187,Docking Station,2022-01-16,112.2,,Retired,Remote,9.0,2027-01-15,2026-06-02
A0479,VC6013673,Desktop,2021-06-25,1406.92,macOS 15,In Storage,Building A,25.0,2024-06-24,2024-04-30
